PAC Table 5d,,,
Top 50 Corporate PACs by Cash On Hand,,,
"as of September 30, 2022",,,
,,,
Rank,ID #,Committee,Amount
1,C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,"$7,073,570"
2,C00303024,LOCKHEED MARTIN CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,"$3,420,430"
3,C00097568,EMPLOYEES OF RAYTHEON TECHNOLOGIES CORPORATION PAC,"$2,693,085"
4,C00109017,AT&T INC. EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE (AT&T EMPLOYEE FEDERAL PAC),"$2,535,692"
5,C00236489,"KOCH INDUSTRIES, INC. POLITICAL ACTION COMMITTEE (KOCHPAC)","$2,298,163"
6,C00409516,"DIRECT SUPPLY, INC. PARTNERS PAC (DSI PARTNERS PAC)","$2,101,810"
7,C00064766,UNITED PARCEL SERVICE INC. PAC,"$2,066,808"
8,C00140855,FIRSTENERGY CORP. POLITICAL ACTION COMMITTEE,"$1,914,656"
9,C00428623,GOOGLE LLC NETPAC,"$1,708,681"
10,C00248716,COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL,"$1,559,302"
11,C00369751,"DELL TECHNOLOGIES, INC. POLITICAL ACTION COMMITTEE","$1,426,678"
12,C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC","$1,418,421"
13,C00340075,BASF CORPORATION EMPLOYEES POLITICAL ACTION COMMITTEE,"$1,365,396"
14,C00235739,BNSF RAILWAY COMPANY RAILPAC (BNSF RAILPAC),"$1,295,980"
15,C00076299,CME GROUP INC. PAC,"$1,284,823"
16,C00337626,MORGAN STANLEY POLITICAL ACTION COMMITTEE,"$1,259,290"
17,C00103903,"HDR, INC. EMPLOYEE OWNERS PAC","$1,238,148"
18,C00108209,"DOMINION ENERGY, INC. POLITICAL ACTION COMMITTEE - DOMINION PAC","$1,175,260"
19,C00397851,CENTENE CORPORATION POLITICAL ACTION COMMITTEE (CENTENE PAC),"$1,164,337"
20,C00386524,TRUIST FINANCIAL CORPORATION FEDERAL PAC (FORMERLY SUNTRUST BANKS INC. POLITICAL ACTION COMMITTEE),"$1,129,466"
21,C00076810,GENERAL MOTORS COMPANY POLITICAL ACTION COMMITTEE (GM PAC),"$1,125,579"
22,C00082792,ELI LILLY AND COMPANY POLITICAL ACTION COMMITTEE,"$1,107,384"
23,C00107235,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I,"$1,099,305"
24,C00426775,CHARTER COMMUNICATIONS INC. POLITICAL ACTION COMMITTEE,"$1,086,791"
25,C00574103,"U.S. ANESTHESIA PARTNERS, INC. PAC D/B/A/ USAP PAC","$1,046,665"
26,C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),"$1,042,706"
27,C00339655,US ONCOLOGY INC. NETWORK POLITICAL ACTION COMMITTEE,"$926,673"
28,C00364778,BANK OF AMERICA CORPORATION FEDERAL PAC,"$874,542"
29,C00096156,HONEYWELL INTERNATIONAL POLITICAL ACTION COMMITTEE,"$872,673"
30,C00064774,"NEXTERA ENERGY, INC. POLITICAL ACTION COMMITTEE","$872,270"
31,C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),"$836,134"
32,C00348938,CHUBB GROUP HOLDINGS INC. POLITICAL ACTION COMMITTEE,"$827,598"
33,C00411116,SPACE EXPLORATION TECHNOLOGIES CORP. PAC,"$825,600"
34,C00046474,FORD MOTOR COMPANY CIVIC ACTION FUND,"$822,400"
35,C00219642,"ENTERPRISE HOLDINGS, INC. POLITICAL ACTION COMMITTEE","$803,402"
36,C00304832,CONSTELLATION BRANDS INC POLITICAL ACTION COMMITTEE,"$781,907"
37,C00381954,ATMOS ENERGY CORPORATION PAC,"$756,360"
38,C00033589,CORNING INCORPORATED EMPLOYEES POLITICAL ACTION COMMITTEE (COREPAC),"$737,888"
39,C00558700,ROTHMAN INSTITUTE PAC,"$736,256"
40,C00009639,TRUIST FINANCIAL CORPORATION FEDERAL STATE & LOCAL POLITICAL ACTION COMMITTEE (FORMERLY SUNTRUST BANKS INC. MAIN STREET BANKERS PAC),"$726,649"
41,C00173096,SERVICE CORPORATION INTERNATIONAL PAC,"$713,547"
42,C00496307,MARATHON PETROLEUM CORPORATION EMPLOYEES POLITICAL ACTION COMMITTEE (MPAC),"$712,405"
43,C00024752,"MATSON, INC. FEDERAL ELECTION COMMITTEE","$710,262"
44,C00450916,ASURION LLC POLITICAL ACTION COMMITTEE (ASURION PAC),"$698,523"
45,C00363879,ENTERGY CORPORATION POLITICAL ACTION COMMITTEE (ENPAC),"$671,418"
46,C00475350,DULCICH INC DBA PACIFIC SEAFOOD GROUP EMPLOYEE PAC,"$669,486"
47,C00793711,CONSTELLATION ENERGY CORPORATION EMPLOYEE POLITICAL ACTION COMMITTEE (CEPAC),"$666,386"
48,C00009282,NORFOLK SOUTHERN CORPORATION GOOD GOVERNMENT FUND,"$657,271"
49,C00183962,CADENCE BANK PAC,"$649,112"
50,C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),"$640,861"